,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
37,37,0.0,0.6,,3.5,100.0,306,263,409,0.5377855887521968,0.7481662591687042,0.6257668711656442,12.828187329399746
38,38,100.0,0.7,0.95,5.0,10.0,289,66,403,0.8140845070422535,0.71712158808933,0.762532981530343,15.338527391350555
39,39,350.0,0.6,,3.0,25.0,233,47,331,0.8321428571428572,0.7039274924471299,0.7626841243862521,13.924413298745685
40,40,200.0,0.8,,2.0,,234,37,386,0.8634686346863468,0.6062176165803109,0.7123287671232877,14.214487698000415
41,41,225.0,0.7,0.9,3.5,0.0,258,53,379,0.8295819935691319,0.6807387862796834,0.7478260869565218,14.629837809792562
42,42,200.0,,0.95,,10.0,318,120,386,0.726027397260274,0.8238341968911918,0.7718446601941749,15.194627745646391
43,43,500.0,0.8,0.95,3.5,50.0,174,33,274,0.8405797101449275,0.635036496350365,0.7234927234927234,12.093836015310336
44,44,100.0,,0.95,3.5,25.0,302,86,403,0.7783505154639175,0.749379652605459,0.7635903919089758,15.33172709351765
45,45,400.0,0.9,0.9,3.0,25.0,162,30,317,0.84375,0.5110410094637224,0.6365422396856583,11.691342951089922
46,46,200.0,0.9,0.8,3.0,,210,33,386,0.8641975308641975,0.5440414507772021,0.6677265500794912,13.471506281091267
47,47,200.0,0.7,0.95,5.0,100.0,275,59,386,0.8233532934131736,0.7124352331606217,0.763888888888889,15.047330517026026
48,48,500.0,0.7,,2.0,10.0,176,31,274,0.8502415458937198,0.6423357664233577,0.7318087318087318,12.232845624681719
49,49,250.0,,0.95,3.0,10.0,265,63,366,0.8079268292682927,0.7240437158469946,0.7636887608069165,14.632177204917166
50,50,300.0,0.8,0.95,2.0,100.0,209,33,351,0.8636363636363636,0.5954415954415955,0.7048903878583475,13.435028842544403
51,51,500.0,0.9,0.9,2.0,25.0,140,25,274,0.8484848484848485,0.5109489051094891,0.6378132118451025,10.898985218261322
52,52,500.0,0.8,0.8,5.0,50.0,179,38,274,0.8248847926267281,0.6532846715328468,0.729124236252546,12.15131177610814
53,53,0.0,0.9,0.8,2.0,25.0,215,52,409,0.8052434456928839,0.5256723716381418,0.6360946745562132,13.157786319285249
54,54,225.0,,0.95,4.0,100.0,277,72,379,0.7936962750716332,0.7308707124010554,0.760989010989011,14.827470053749641
55,55,500.0,0.9,0.8,4.0,,147,31,274,0.8258426966292135,0.5364963503649635,0.6504424778761062,11.018115828239162
56,56,350.0,0.6,0.9,4.0,25.0,235,51,331,0.8216783216783217,0.7099697885196374,0.7617504051863857,13.895841305743442
57,57,225.0,,0.9,,0.0,308,124,379,0.7129629629629629,0.8126649076517151,0.7595561035758324,14.818656909200394
58,58,200.0,,0.9,4.0,100.0,287,79,386,0.7841530054644809,0.7435233160621761,0.7632978723404256,15.00173031914339
59,59,300.0,,0.99,3.5,25.0,252,50,351,0.8344370860927153,0.717948717948718,0.771822358346095,14.500970508740588
60,60,500.0,0.7,0.9,,25.0,209,65,274,0.7627737226277372,0.7627737226277372,0.7627737226277372,12.626151750600698
61,61,0.0,0.9,0.99,3.0,100.0,214,36,409,0.856,0.5232273838630807,0.6494688922610016,13.534548385520663
62,62,200.0,0.8,0.99,4.0,10.0,244,44,386,0.8472222222222222,0.6321243523316062,0.7240356083086054,14.377837884126468
63,63,100.0,0.6,0.95,,100.0,330,129,403,0.7189542483660131,0.8188585607940446,0.7656612529002319,15.403080924308108
64,64,225.0,,,3.5,0.0,275,74,379,0.7879656160458453,0.7255936675461742,0.7554945054945055,14.720412508235203
65,65,400.0,0.6,0.99,,10.0,242,72,317,0.7707006369426752,0.7634069400630915,0.7670364500792393,13.65685008119103
66,66,350.0,0.8,0.99,2.0,100.0,192,35,331,0.8458149779735683,0.5800604229607251,0.6881720430107527,12.743487582719462
67,67,225.0,0.8,0.95,4.0,10.0,240,46,379,0.8391608391608392,0.633245382585752,0.7218045112781956,14.191497503737983
68,68,250.0,0.9,,3.0,100.0,196,34,366,0.8521739130434782,0.5355191256830601,0.6577181208053691,12.923857278557426
69,69,350.0,0.8,0.9,,10.0,233,63,331,0.7871621621621622,0.7039274924471299,0.7432216905901116,13.542849913654946
70,70,200.0,0.8,0.9,3.0,10.0,249,41,386,0.8586206896551725,0.6450777202072538,0.7366863905325444,14.621783465916115
71,71,400.0,0.9,0.99,3.5,100.0,163,31,317,0.8402061855670103,0.5141955835962145,0.6379647749510764,11.702717985469132
72,72,300.0,0.9,0.8,,100.0,207,47,351,0.8149606299212598,0.5897435897435898,0.684297520661157,12.988335166359882
73,73,400.0,0.9,0.95,,0.0,182,46,317,0.7982456140350878,0.5741324921135647,0.6678899082568808,12.053244449291899
74,74,350.0,0.7,0.8,2.0,100.0,212,40,331,0.8412698412698413,0.6404833836858006,0.7272727272727272,13.354744712992694
75,75,350.0,,0.8,3.0,25.0,238,53,331,0.8178694158075601,0.7190332326283988,0.7652733118971061,13.951807085901072
76,76,100.0,0.9,0.99,,0.0,234,48,403,0.8297872340425532,0.5806451612903226,0.6832116788321168,13.93449721970468
77,77,225.0,0.8,0.8,5.0,0.0,245,48,379,0.8361774744027304,0.6464379947229552,0.7291666666666666,14.313052827006157
78,78,250.0,0.7,,3.5,,253,60,366,0.8083067092651757,0.6912568306010929,0.7452135493372606,14.300405499288804
79,79,225.0,0.6,0.9,,100.0,302,106,379,0.7401960784313726,0.7968337730870713,0.767471410419314,14.951227898947783
80,80,300.0,0.6,0.99,4.0,100.0,248,50,351,0.8322147651006712,0.7065527065527065,0.7642526964560863,14.366254269814608
81,81,225.0,0.9,0.99,5.0,,203,37,379,0.8458333333333333,0.5356200527704486,0.6558966074313408,13.103593654668426
82,82,350.0,,0.95,3.5,0.0,240,53,331,0.8191126279863481,0.7250755287009063,0.7692307692307693,14.020949708087663
83,83,300.0,0.8,0.8,5.0,100.0,229,45,351,0.8357664233576643,0.6524216524216524,0.7328,13.834395937261052
84,84,0.0,0.7,,4.0,,296,233,409,0.5595463137996219,0.7237163814180929,0.6311300639658849,12.869565217391305
85,85,400.0,0.9,0.95,4.0,10.0,163,31,317,0.8402061855670103,0.5141955835962145,0.6379647749510764,11.702717985469132
86,86,225.0,0.6,0.95,5.0,0.0,274,63,379,0.8130563798219584,0.7229551451187335,0.7653631284916201,14.925731073257907
87,87,0.0,0.6,,4.0,25.0,304,252,409,0.5467625899280576,0.7432762836185819,0.6300518134715026,12.89247173113556
88,88,400.0,0.9,0.9,,0.0,182,46,317,0.7982456140350878,0.5741324921135647,0.6678899082568808,12.053244449291899
89,89,200.0,0.7,0.8,,100.0,300,96,386,0.7575757575757576,0.7772020725388601,0.7672634271099745,15.07556722888818
90,90,225.0,,0.8,3.5,100.0,277,75,379,0.7869318181818182,0.7308707124010554,0.7578659370725034,14.764149607626022
91,91,200.0,,0.99,3.0,100.0,276,61,386,0.8189910979228486,0.7150259067357513,0.7634854771784232,15.034678015398475
92,92,225.0,0.8,0.8,5.0,10.0,245,48,379,0.8361774744027304,0.6464379947229552,0.7291666666666666,14.313052827006157
93,93,500.0,0.8,0.9,3.5,100.0,174,35,274,0.8325358851674641,0.635036496350365,0.720496894409938,12.0358316712697
94,94,200.0,,0.9,5.0,25.0,290,79,386,0.7859078590785907,0.7512953367875648,0.7682119205298013,15.096796982565253
95,95,350.0,0.9,0.95,3.0,25.0,174,32,331,0.8446601941747572,0.525679758308157,0.6480446927374302,12.123154448674148
96,96,500.0,,0.95,5.0,50.0,207,44,274,0.8247011952191236,0.7554744525547445,0.7885714285714287,13.065724144124525
97,97,400.0,,,2.0,0.0,208,40,317,0.8387096774193549,0.6561514195583596,0.736283185840708,13.208013208019812
98,98,300.0,0.9,0.99,4.0,,187,32,351,0.8538812785388128,0.5327635327635327,0.656140350877193,12.636288976070388
99,99,200.0,,0.9,,,325,145,386,0.6914893617021277,0.8419689119170984,0.7593457943925234,14.991132130469381
100,100,225.0,0.7,0.8,3.5,10.0,258,54,379,0.8269230769230769,0.6807387862796834,0.7467438494934877,14.606373740465283
101,101,400.0,0.7,0.8,2.0,25.0,196,35,317,0.8484848484848485,0.6182965299684543,0.7153284671532847,12.895853221211471
102,102,0.0,,0.95,4.0,100.0,305,143,409,0.6808035714285714,0.7457212713936431,0.7117852975495916,14.409895533476787
103,103,500.0,0.6,0.8,3.0,25.0,196,36,274,0.8448275862068966,0.7153284671532847,0.774703557312253,12.86803042025281
104,104,0.0,0.8,0.9,4.0,,272,79,409,0.7749287749287749,0.6650366748166259,0.7157894736842105,14.518285944994568
105,105,350.0,,0.95,3.0,10.0,238,51,331,0.8235294117647058,0.7190332326283988,0.7677419354838709,14.0
106,106,350.0,0.7,0.99,4.0,0.0,221,46,331,0.8277153558052435,0.6676737160120846,0.7391304347826088,13.524980356102512
107,107,0.0,0.9,0.9,3.5,50.0,227,43,409,0.8407407407407408,0.5550122249388753,0.6686303387334315,13.81478006151919
108,108,300.0,0.6,0.8,4.0,0.0,251,52,351,0.8283828382838284,0.7150997150997151,0.7675840978593274,14.419573239497794
109,109,250.0,0.7,0.99,,10.0,273,80,366,0.773371104815864,0.7459016393442623,0.7593880389429765,14.530323864757142
110,110,400.0,,0.95,4.0,0.0,225,49,317,0.8211678832116789,0.7097791798107256,0.7614213197969544,13.592747099928982
111,111,300.0,,,5.0,10.0,261,64,351,0.803076923076923,0.7435897435897436,0.772189349112426,14.47767512147848
112,112,250.0,,0.99,3.5,50.0,261,60,366,0.8130841121495327,0.7131147540983607,0.7598253275109169,14.567599434053232
113,113,500.0,0.8,0.8,5.0,0.0,179,38,274,0.8248847926267281,0.6532846715328468,0.729124236252546,12.15131177610814
114,114,100.0,,0.8,4.0,0.0,307,114,403,0.7292161520190024,0.7617866004962779,0.7451456310679612,14.962264490037386
115,115,400.0,0.9,0.8,4.0,50.0,163,31,317,0.8402061855670103,0.5141955835962145,0.6379647749510764,11.702717985469132
116,116,250.0,0.9,0.99,,10.0,214,49,366,0.8136882129277566,0.5846994535519126,0.6804451510333863,13.195805301933637
117,117,225.0,0.7,0.99,3.0,,252,53,379,0.8262295081967214,0.6649076517150396,0.736842105263158,14.42947802470948
118,118,400.0,0.9,0.99,3.0,,162,31,317,0.8393782383419689,0.5110410094637224,0.6352941176470588,11.661015162128852
119,119,400.0,0.8,0.9,,25.0,216,59,317,0.7854545454545454,0.6813880126182965,0.7297297297297297,13.025290085759387
